run,rubric_total_s,ml_total_s,n_emails,n_cases,rubric_cases_per_s,ml_cases_per_s,rubric_emails_per_s,ml_emails_per_s
1,26.655973800458014,93.26171860005707,517400,1353,50.75785300992276,14.507560232748833,19410.283183543263,5547.828281170913
2,26.56827129982412,93.14453539997339,517400,1353,50.92540589981693,14.525811892131532,19474.356993765912,5554.807888387919
3,25.210112700238824,88.29004570003599,517400,1353,53.66893897254107,15.324490878584385,20523.50999585569,5860.230288676689
4,25.311697400175035,88.9847360001877,517400,1353,53.453546738064425,15.2048549090166,20441.141967682583,5814.480362102874
5,24.691449100151658,87.41028069984168,517400,1353,54.79629788077889,15.478728464973921,20954.622707697705,5919.212200870294
6,24.08397400006652,85.24947990011424,517400,1353,56.1784363326527,15.871064569370903,21483.16552735736,6069.245238871031
7,24.07900720089674,82.0597817003727,517400,1353,56.19002431086993,16.487979518885986,21487.596879855213,6305.159351863716
8,22.526553699746728,78.8128363005817,517400,1353,60.062449766348955,17.16725426350395,22968.4490089497,6564.920440455982
9,22.17012340016663,78.86612530052662,517400,1353,61.02807709179602,17.155654532846253,23337.71403347765,6560.484593713711
10,22.357331999577582,79.6748276995495,517400,1353,60.517059907933714,16.981524015365398,23142.296227911975,6493.895436474543
