run,rubric_total_s,ml_total_s,n_emails,n_cases,rubric_cases_per_s,ml_cases_per_s,rubric_emails_per_s,ml_emails_per_s
1,29.320256100036204,29.491002299822867,517400,1353,46.145572377805024,45.8784000029774,17646.503435533126,17544.334191825947
2,26.657722500152886,28.010145099833608,517400,1353,50.7545233840678,48.30392685141918,19409.00990311654,18471.878605265545
3,29.036908499896526,30.004021500237286,517400,1353,46.5958695294584,45.093955154954806,17818.701326342773,17244.35506073438
4,29.367969599552453,29.443927600048482,517400,1353,46.07060067307543,45.9517499967556,17617.833546377846,17572.383923371286
5,28.41787359956652,29.194341899827123,517400,1353,47.61088106256614,46.34459665651898,18206.851339077402,17722.61220257422
6,28.901454400271177,29.66818690020591,517400,1353,46.814253056666416,45.60440462880492,17902.21325315536,17439.555768620598
7,29.643855799920857,27.544006999582052,517400,1353,45.64183583714546,49.12139326789055,17453.8698168064,18784.485496531095
8,26.441970399580896,25.744776600040495,517400,1353,51.16865269698074,52.554349995714155,19567.376870227523,20097.280626594606
9,25.081019599922,23.358410300686955,517400,1353,53.94517533905231,57.92346236679511,20629.1453957322,22150.47999155934
10,23.918804899789393,23.743717200122774,517400,1353,56.56637134123341,56.983495406229146,21631.515544681573,21791.027733320738
